ID,Start time,Completion time,Email,Name,"When I'm around native German speakers, I try to speak in German",I'm often needed to be able to converse in German,I will need to study German for my planned profession/ studies,I'm investing time into learning German each week,Learning German is one of my highest priorities,I want to learn German so that I can understand German media,I want to learn German to hone my hearing and speaking skills for everyday life,I want to learn German to better understand the German culture,I want to learn German for professional competency,What is your age?,What is your gender?,How long have you been living in Germany?,What do you ideally intend to do after your studies?,What is your current level of German?
1,11-23-22 20:44:35,11-23-22 20:45:45,anonymous,,6,6,6,4,3,1,6,6,6,18-24,Man,Less than a year,Full or Part-time Job/ Ausbildung/ Internship outside Germany,Level C: I can understand and discuss almost anything read/heard with ease.
2,11-23-22 20:44:22,11-23-22 20:45:52,anonymous,,6,6,1,1,3,6,6,4,6,25-34,Man,More than 3 years,Full or Part-time Job/ Ausbildung/ Internship in Germany,Level C: I can understand and discuss almost anything read/heard with ease.
3,11-23-22 20:44:48,11-23-22 20:46:28,anonymous,,1,3,4,2,2,2,6,6,4,25-34,Man,1-3 years,Full or Part-time Job/ Ausbildung/ Internship in Germany,"Level A: I can use simple sentences to describe my family, living conditions, educational background, and about my profession."
4,11-23-22 20:50:31,11-23-22 20:51:49,anonymous,,3,2,4,2,2,2,6,6,6,18-24,Man,Less than a year,Full or Part-time Job/ Ausbildung/ Internship in Germany,Level B: I can present clear and detailed descriptions of topics related to my interests. 
5,11-23-22 21:01:08,11-23-22 21:04:11,anonymous,,1,3,4,1,4,3,6,6,4,25-34,Man,Less than a year,Full or Part-time Job/ Ausbildung/ Internship in Germany,I don't know any German
6,11-23-22 21:32:07,11-23-22 21:33:26,anonymous,,6,4,6,4,6,3,6,6,6,25-34,Man,Less than a year,Full or Part-time Job/ Ausbildung/ Internship in Germany,"Level A: I can use simple sentences to describe my family, living conditions, educational background, and about my profession."
7,11-23-22 21:30:27,11-23-22 21:34:04,anonymous,,2,6,3,2,4,4,4,6,6,35+,Man,Less than a year,Bachelor/Master/PhD outside Germany,I don't know any German
8,11-24-22 18:05:50,11-24-22 18:18:05,anonymous,,1,3,2,1,1,4,3,2,1,18-24,Man,Less than a year,Bachelor/Master/PhD in Germany,I don't know any German
9,11-24-22 18:18:49,11-24-22 18:20:11,anonymous,,6,4,2,6,4,2,4,6,4,18-24,Woman,Less than a year,Bachelor/Master/PhD outside Germany,Level B: I can present clear and detailed descriptions of topics related to my interests. 
10,11-24-22 18:07:28,11-24-22 19:09:45,anonymous,,1,6,4,1,4,1,6,4,6,18-24,Man,1-3 years,Full or Part-time Job/ Ausbildung/ Internship in Germany,"Level A: I can use simple sentences to describe my family, living conditions, educational background, and about my profession."
11,11-24-22 20:09:23,11-24-22 20:11:35,anonymous,,4,6,3,6,3,4,6,6,6,18-24,Woman,1-3 years,Full or Part-time Job/ Ausbildung/ Internship outside Germany,"Level A: I can use simple sentences to describe my family, living conditions, educational background, and about my profession."
12,11-24-22 22:45:13,11-24-22 22:49:25,anonymous,,2,4,3,2,2,2,4,4,3,18-24,Woman,1-3 years,Full or Part-time Job/ Ausbildung/ Internship outside Germany,"Level A: I can use simple sentences to describe my family, living conditions, educational background, and about my profession."
13,11-25-22 19:43:09,11-25-22 19:43:51,anonymous,,4,6,6,4,4,6,6,6,6,18-24,Woman,Less than a year,Full or Part-time Job/ Ausbildung/ Internship in Germany,"Level A: I can use simple sentences to describe my family, living conditions, educational background, and about my profession."
14,11-25-22 19:49:10,11-25-22 19:51:48,anonymous,,2,3,1,4,2,6,6,6,4,18-24,Man,1-3 years,Bachelor/Master/PhD in Germany,"Level A: I can use simple sentences to describe my family, living conditions, educational background, and about my profession."
15,11-25-22 20:08:04,11-25-22 20:09:57,anonymous,,4,6,6,6,4,6,6,6,6,18-24,Woman,Less than a year,Bachelor/Master/PhD in Germany,"Level A: I can use simple sentences to describe my family, living conditions, educational background, and about my profession."
16,11-25-22 20:22:11,11-25-22 20:24:16,anonymous,,6,3,1,4,4,6,6,6,4,18-24,Woman,Less than a year,Bachelor/Master/PhD in Germany,"Level A: I can use simple sentences to describe my family, living conditions, educational background, and about my profession."
17,11-25-22 20:39:43,11-25-22 20:40:41,anonymous,,2,6,2,2,2,2,2,6,2,25-34,Man,1-3 years,Bachelor/Master/PhD in Germany,I don't know any German
18,11-25-22 20:44:11,11-25-22 20:45:45,anonymous,,4,3,6,6,6,6,6,6,6,18-24,Woman,Less than a year,Full or Part-time Job/ Ausbildung/ Internship in Germany,I don't know any German
19,11-25-22 21:08:22,11-25-22 21:10:26,anonymous,,4,4,6,6,2,1,6,6,6,18-24,Man,Less than a year,Bachelor/Master/PhD in Germany,Level B: I can present clear and detailed descriptions of topics related to my interests. 
20,11-25-22 22:21:48,11-25-22 22:23:37,anonymous,,4,2,6,6,4,6,6,6,6,18-24,Woman,Less than a year,Bachelor/Master/PhD in Germany,I don't know any German
21,11-26-22 2:27:16,11-26-22 2:29:54,anonymous,,4,4,2,4,3,2,4,3,2,25-34,Man,More than 3 years,Full or Part-time Job/ Ausbildung/ Internship outside Germany,"Level A: I can use simple sentences to describe my family, living conditions, educational background, and about my profession."
22,11-26-22 6:09:24,11-26-22 6:10:45,anonymous,,2,3,6,4,6,6,6,6,6,25-34,Man,1-3 years,Full or Part-time Job/ Ausbildung/ Internship in Germany,I don't know any German
23,11-26-22 16:38:58,11-26-22 16:43:28,anonymous,,6,6,6,6,6,6,6,6,6,35+,Man,Less than a year,Bachelor/Master/PhD in Germany,Level C: I can understand and discuss almost anything read/heard with ease.
24,11-27-22 6:56:22,11-27-22 6:57:36,anonymous,,6,4,6,6,6,3,6,6,6,18-24,Man,Less than a year,Full or Part-time Job/ Ausbildung/ Internship in Germany,Level B: I can present clear and detailed descriptions of topics related to my interests. 
25,11-28-22 18:52:19,11-28-22 18:53:35,anonymous,,6,2,4,4,6,6,6,4,6,18-24,Woman,1-3 years,Full or Part-time Job/ Ausbildung/ Internship in Germany,"Level A: I can use simple sentences to describe my family, living conditions, educational background, and about my profession."
26,11-29-22 16:28:40,11-29-22 16:29:55,anonymous,,4,4,3,4,4,6,6,6,3,18-24,Man,Less than a year,Bachelor/Master/PhD in Germany,Level B: I can present clear and detailed descriptions of topics related to my interests. 
27,11-30-22 21:08:53,11-30-22 21:13:04,anonymous,,3,3,2,6,4,2,6,3,4,18-24,Woman,Less than a year,Full or Part-time Job/ Ausbildung/ Internship in Germany,"Level A: I can use simple sentences to describe my family, living conditions, educational background, and about my profession."
28,12-2-22 17:36:24,12-2-22 17:39:11,anonymous,,6,2,4,6,4,2,6,6,6,18-24,Woman,Less than a year,Full or Part-time Job/ Ausbildung/ Internship outside Germany,"Level A: I can use simple sentences to describe my family, living conditions, educational background, and about my profession."
29,12-2-22 17:50:48,12-2-22 17:52:36,anonymous,,4,6,6,4,6,2,6,6,4,18-24,Man,1-3 years,Bachelor/Master/PhD in Germany,I don't know any German
30,12-2-22 23:33:59,12-2-22 23:35:11,anonymous,,2,6,6,6,4,6,6,4,6,25-34,Man,Less than a year,Full or Part-time Job/ Ausbildung/ Internship in Germany,I don't know any German
31,12-7-22 10:02:35,12-7-22 10:03:25,anonymous,,6,4,4,6,4,6,6,6,4,25-34,Man,Less than a year,Full or Part-time Job/ Ausbildung/ Internship outside Germany,Level B: I can present clear and detailed descriptions of topics related to my interests. 
